OBJECTID,HUC_10,HUC_8,HUC_6,HUC_4,HUC_2,WSC_CODE,NAME,BASIN,,Natural Region,Cluster,Data_Source,Area_km2,RoadsDensity_m_km2,RailsDensity_m_km2,Trans_Density_m_km2,ServCorridor_Density_m_km2,Indust_density_m2_km2,Resid_density_m2_km2,Imperv_density_m2_km2,Agri_density_m2_km2, Fertil_Density_ha_km2 ,Cattle_Density_n_km2,Energy_Mining_density_m2_km2,Wells_density_m2_km2,Waste__density_m2_km2,SW_use_m3_km2,GW_use_m3_km2,Canal_density_m2_km2,Res_density_m2_km2,Dam_density_n_km2,StreamRoadCrossing_density_n_km2,Pop_Density_n_km2,Harvest_density_m2_km2,Wildfire_density_m2_km2,Riparian_density_km2_km2,RoadsRipDensity_m_km2,ResidRip_density_m2_km2,AgriRip_density_m2_km2,Shape_Length,Shape_Area
41,1101030205,11010302,110103,1101,11,05DB,SWAN CREEK,NORTH SASKATCHEWAN,,Foothills,3,GOA,185,844,0,844,4461,860,201,21433,1711,"761,531",2,270,4235,0,0,1299,0,0,0.011,0.3,1,24646807,1463,0.152,496,348,2439,96185,185151285
42,1101030201,11010302,110103,1101,11,05DB,UPPER PRAIRIE CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,103,829,0,829,2758,98,79,12634,0,"75,632",0,710,661,0,0,0,0,0,0.029,0.5,1,24396453,0,0.133,1054,595,0,61797,103039818
43,1101030203,11010302,110103,1101,11,05DB,MIDDLE PRAIRIE CREEK,NORTH SASKATCHEWAN,,Foothills,3,GOA,355,960,110,1070,4319,2472,2482,31568,34338,"525,973",1,6719,3188,80,0,2209,0,0,0,0.2,1,33506357,1698,0.137,680,5177,116795,116408,354521246
44,1101030204,11010302,110103,1101,11,05DB,LOWER PRAIRIE CREEK,NORTH SASKATCHEWAN,,Foothills,2,GOA,121,1762,0,1762,4756,2898,26383,64376,298145,"8,813,387",13,1411,13860,8,0,1070,0,39,0.025,0.5,1,2964788,181688,0.278,1129,18430,303162,85047,120627331
45,1101040103,11010401,110104,1101,11,05DD,JOB CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,250,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.083,0,0,0,82245,249976554
46,1101040101,11010401,110104,1101,11,05DD,UPPER BRAZEAU RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,522,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.094,0,0,0,155902,522137318
47,1101040104,11010401,110104,1101,11,05DD,SOUTHESK RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,483,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,31913,0.086,0,0,0,121783,483080254
48,1101040106,11010401,110104,1101,11,05DD,THISTLE CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,141,160,0,160,796,0,0,1295,0,0,0,6,0,0,0,0,0,0,0,0.1,1,28809,0,0.127,120,0,0,66693,141065612
49,1101040108,11010401,110104,1101,11,05DD,UNNAMED - DEVIL FORKS,NORTH SASKATCHEWAN,,Foothills,1,GOA,98,675,0,675,1763,839,0,10560,0,0,0,918,930,0,0,31,0,0,0,0.3,1,22077312,0,0.192,359,0,0,44151,97745537
50,1101040110,11010401,110104,1101,11,05DD,RIFLE CREEK,NORTH SASKATCHEWAN,,Foothills,3,GOA,217,564,0,564,3820,1137,0,20634,0,0,0,884,4081,137,0,39,0,0,0,0.1,1,21266088,9262,0.196,226,0,0,79355,217432145
